PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38467585","Unpredictable threat increases early event-related potential amplitudes and cardiac acceleration: A brain-heart coupling study","Gerpheide K, Unterschemmann SL, Panitz C, Bierwirth P, Gross JJ, Mueller EM.","Psychophysiology. 2024 Jul;61(7):e14563. doi: 10.1111/psyp.14563. Epub 2024 Mar 11.","Gerpheide K","Psychophysiology","2024","2024/03/11","","","10.1111/psyp.14563"
"38403782","Exploring the neural underpinnings of chord prediction uncertainty: an electroencephalography (EEG) study","Ono K, Mizuochi R, Yamamoto K, Sasaoka T, Ymawaki S.","Sci Rep. 2024 Feb 26;14(1):4586. doi: 10.1038/s41598-024-55366-1.","Ono K","Sci Rep","2024","2024/02/25","PMC10894873","","10.1038/s41598-024-55366-1"
"38396068","Cardio-audio synchronization elicits neural and cardiac surprise responses in human wakefulness and sleep","Pelentritou A, Pfeiffer C, Schwartz S, De Lucia M.","Commun Biol. 2024 Feb 23;7(1):226. doi: 10.1038/s42003-024-05895-2.","Pelentritou A","Commun Biol","2024","2024/02/23","PMC10891147","","10.1038/s42003-024-05895-2"
"38369098","Aberrant heartbeat-evoked potential in schizophrenia","Koreki A, Ogyu K, Miyazaki T, Takenouchi K, Matsushita K, Honda S, Koizumi T, Onaya M, Uchida H, Mimura M, Nakajima S, Noda Y.","Prog Neuropsychopharmacol Biol Psychiatry. 2024 Jun 8;132:110969. doi: 10.1016/j.pnpbp.2024.110969. Epub 2024 Feb 16.","Koreki A","Prog Neuropsychopharmacol Biol Psychiatry","2024","2024/02/18","","","10.1016/j.pnpbp.2024.110969"
"38318683","Interoception as a function of hypnotizability during rest and a heartbeat counting task","Giusti G, Zelič Ž, Callara AL, Sebastiani L, Santarcangelo EL.","Psychophysiology. 2024 Jun;61(6):e14535. doi: 10.1111/psyp.14535. Epub 2024 Feb 6.","Giusti G","Psychophysiology","2024","2024/02/06","","","10.1111/psyp.14535"
"38314779","Noninvasive neuromodulation of subregions of the human insula differentially affect pain processing and heart-rate variability: a within-subjects pseudo-randomized trial","Legon W, Strohman A, In A, Payne B.","Pain. 2024 Jul 1;165(7):1625-1641. doi: 10.1097/j.pain.0000000000003171. Epub 2024 Feb 1.","Legon W","Pain","2024","2024/02/05","PMC11189760","NIHMS1950367","10.1097/j.pain.0000000000003171"
"38291167","Heartbeat-evoked neural response abnormalities in generalized anxiety disorder during peripheral adrenergic stimulation","Verdonk C, Teed AR, White EJ, Ren X, Stewart JL, Paulus MP, Khalsa SS.","Neuropsychopharmacology. 2024 Jul;49(8):1246-1254. doi: 10.1038/s41386-024-01806-5. Epub 2024 Jan 30.","Verdonk C","Neuropsychopharmacology","2024","2024/01/30","PMC11224228","","10.1038/s41386-024-01806-5"
"38243640","Aberrant brain-heart coupling is associated with the severity of post cardiac arrest brain injury","Hermann B, Candia-Rivera D, Sharshar T, Gavaret M, Diehl JL, Cariou A, Benghanem S.","Ann Clin Transl Neurol. 2024 Apr;11(4):866-882. doi: 10.1002/acn3.52000. Epub 2024 Jan 19.","Hermann B","Ann Clin Transl Neurol","2024","2024/01/20","PMC11021613","","10.1002/acn3.52000"
"38232584","Cost-benefit analysis of intraoperative neuromonitoring for cardiac surgery","Jain B, Rahim FO, Thirumala PD, McGarvey ML, Balzer J, Nogueira RG, van der Goes DN, de Havenon A, Sultan I, Ney J.","J Stroke Cerebrovasc Dis. 2024 Mar;33(3):107576. doi: 10.1016/j.jstrokecerebrovasdis.2024.107576. Epub 2024 Jan 12.","Jain B","J Stroke Cerebrovasc Dis","2024","2024/01/17","","","10.1016/j.jstrokecerebrovasdis.2024.107576"
"38187733","Neural Interoceptive Processing is Modulated by Deep Brain Stimulation for Treatment Resistant Depression","Xu E, Pitts S, Dahill-Fuchel J, Scherrer S, Nauvel T, Overton JG, Riva-Posse P, Crowell A, Figee M, Alagapan S, Rozell C, Choi KS, Mayberg HS, Waters AC.","bioRxiv [Preprint]. 2023 Dec 20:2023.12.15.571885. doi: 10.1101/2023.12.15.571885.","Xu E","bioRxiv","2023","2024/01/08","PMC10769181","","10.1101/2023.12.15.571885"
"38182418","Low-Intensity Focused Ultrasound to the Human Dorsal Anterior Cingulate Attenuates Acute Pain Perception and Autonomic Responses","Strohman A, Payne B, In A, Stebbins K, Legon W.","J Neurosci. 2024 Feb 21;44(8):e1011232023. doi: 10.1523/JNEUROSCI.1011-23.2023.","Strohman A","J Neurosci","2024","2024/01/05","PMC10883612","","10.1523/JNEUROSCI.1011-23.2023"
"38015826","Cardiac activity impacts cortical motor excitability","Al E, Stephani T, Engelhardt M, Haegens S, Villringer A, Nikulin VV.","PLoS Biol. 2023 Nov 28;21(11):e3002393. doi: 10.1371/journal.pbio.3002393. eCollection 2023 Nov.","Al E","PLoS Biol","2023","2023/11/28","PMC10684011","","10.1371/journal.pbio.3002393"
"38009624","Cardiac interoception in Anorexia Nervosa: A resting-state heartbeat-evoked potential study","Cambi S, Solcà M, Micali N, Berchio C.","Eur Eat Disord Rev. 2024 May;32(3):417-430. doi: 10.1002/erv.3049. Epub 2023 Nov 27.","Cambi S","Eur Eat Disord Rev","2024","2023/11/27","","","10.1002/erv.3049"
"37920446","Time-varying information measures: an adaptive estimation of information storage with application to brain-heart interactions","Antonacci Y, Barà C, Zaccaro A, Ferri F, Pernice R, Faes L.","Front Netw Physiol. 2023 Oct 18;3:1242505. doi: 10.3389/fnetp.2023.1242505. eCollection 2023.","Antonacci Y","Front Netw Physiol","2023","2023/11/03","PMC10619917","","10.3389/fnetp.2023.1242505"
"37888955","Conscious processing of global and local auditory irregularities causes differentiated heartbeat-evoked responses","Candia-Rivera D, Raimondo F, Pérez P, Naccache L, Tallon-Baudry C, Sitt JD.","Elife. 2023 Oct 27;12:e75352. doi: 10.7554/eLife.75352.","Candia-Rivera D","Elife","2023","2023/10/27","PMC10651171","","10.7554/eLife.75352"
"37775030","Elevated EEG heartbeat-evoked potentials in adolescents with more ADHD symptoms","Rapp L, Mai-Lippold SA, Georgiou E, Pollatos O.","Biol Psychol. 2023 Nov;184:108698. doi: 10.1016/j.biopsycho.2023.108698. Epub 2023 Sep 28.","Rapp L","Biol Psychol","2023","2023/09/29","","","10.1016/j.biopsycho.2023.108698"
"37752179","Ictogenesis proceeds through discrete phases in hippocampal CA1 seizures in mice","Mueller JS, Tescarollo FC, Huynh T, Brenner DA, Valdivia DJ, Olagbegi K, Sangappa S, Chen SC, Sun H.","Nat Commun. 2023 Sep 26;14(1):6010. doi: 10.1038/s41467-023-41711-x.","Mueller JS","Nat Commun","2023","2023/09/26","PMC10522592","","10.1038/s41467-023-41711-x"
"37597447","The development of the relationship between auditory and visual neural sensitivity and autonomic arousal from 6 m to 12 m","Daubney K, Suata Z, Marriott Haresign I, Thomas M, Kushnerenko E, Wass SV.","Dev Cogn Neurosci. 2023 Oct;63:101289. doi: 10.1016/j.dcn.2023.101289. Epub 2023 Aug 9.","Daubney K","Dev Cogn Neurosci","2023","2023/08/19","PMC10458697","","10.1016/j.dcn.2023.101289"
"37496524","Effect of aerobic exercise training on EEG: event-related potential and neuropsychological functions in depressed elderly with mild cognitive impairment","Khan Z, Saif A, Chaudhry N, Parveen A.","Dement Neuropsychol. 2023 Jul 17;17:e20220082. doi: 10.1590/1980-5764-DN-2022-0082. eCollection 2023.","Khan Z","Dement Neuropsychol","2023","2023/07/27","PMC10367970","","10.1590/1980-5764-DN-2022-0082"
"37490801","Modulation of heartbeat-evoked potential and cardiac cycle effect by auditory stimuli","Tanaka Y, Ito Y, Terasawa Y, Umeda S.","Biol Psychol. 2023 Sep;182:108637. doi: 10.1016/j.biopsycho.2023.108637. Epub 2023 Jul 23.","Tanaka Y","Biol Psychol","2023","2023/07/25","","","10.1016/j.biopsycho.2023.108637"
"37455508","Reduced Heartbeat-Evoked Responses in a Near-Death Case Report","Candia-Rivera D, Machado C.","J Clin Neurol. 2023 Nov;19(6):581-588. doi: 10.3988/jcn.2022.0415. Epub 2023 Jun 1.","Candia-Rivera D","J Clin Neurol","2023","2023/07/17","PMC10622722","","10.3988/jcn.2022.0415"
"37421217","Cardiac interoception in infants: Behavioral and neurophysiological measures in various emotional and self-related contexts","Weijs ML, Daum MM, Lenggenhager B.","Psychophysiology. 2023 Dec;60(12):e14386. doi: 10.1111/psyp.14386. Epub 2023 Jul 8.","Weijs ML","Psychophysiology","2023","2023/07/08","","","10.1111/psyp.14386"
"37405324","Increased neurocardiological interplay after mindfulness meditation: a brain oscillation-based approach","Gao J, Sun R, Leung HK, Roberts A, Wu BWY, Tsang EW, Tang ACW, Sik HH.","Front Hum Neurosci. 2023 Jun 19;17:1008490. doi: 10.3389/fnhum.2023.1008490. eCollection 2023.","Gao J","Front Hum Neurosci","2023","2023/07/05","PMC10315629","","10.3389/fnhum.2023.1008490"
"37398268","Heartbeat-evoked neural response abnormalities in generalized anxiety disorder during peripheral adrenergic stimulation","Verdonk C, Teed AR, White EJ, Ren X, Stewart JL, Paulus MP, Khalsa SS.","medRxiv [Preprint]. 2023 Dec 22:2023.06.09.23291166. doi: 10.1101/2023.06.09.23291166.","Verdonk C","medRxiv","2023","2023/07/03","PMC10312828","","10.1101/2023.06.09.23291166"
"37382151","Multidimensional assessment of heartbeat-evoked responses in disorders of consciousness","Candia-Rivera D, Machado C.","Eur J Neurosci. 2023 Aug;58(4):3098-3110. doi: 10.1111/ejn.16079. Epub 2023 Jun 29.","Candia-Rivera D","Eur J Neurosci","2023","2023/06/29","","","10.1111/ejn.16079"
"37271351","No Evidence That Working Memory Modulates the Plasticity of the Nociceptive System, as Measured by Secondary Mechanical Hypersensitivity","Meyers E, Alves M, Teugels A, Torta DM.","J Pain. 2023 Nov;24(11):1931-1945. doi: 10.1016/j.jpain.2023.05.016. Epub 2023 Jun 2.","Meyers E","J Pain","2023","2023/06/04","","","10.1016/j.jpain.2023.05.016"
"37230745","Changes in the heartbeat-evoked potential are associated with functional seizures","Elkommos S, Martin-Lopez D, Koreki A, Jolliffe C, Kandasamy R, Mula M, Critchley HD, Edwards MJ, Garfinkel S, Richardson MP, Yogarajah M.","J Neurol Neurosurg Psychiatry. 2023 Sep;94(9):769-775. doi: 10.1136/jnnp-2022-330167. Epub 2023 May 25.","Elkommos S","J Neurol Neurosurg Psychiatry","2023","2023/05/25","","","10.1136/jnnp-2022-330167"
"37205396","Non-invasive neuromodulation of sub-regions of the human insula differentially affect pain processing and heart-rate variability","Legon W, Strohman A, In A, Stebbins K, Payne B.","bioRxiv [Preprint]. 2023 May 5:2023.05.05.539593. doi: 10.1101/2023.05.05.539593.","Legon W","bioRxiv","2023","2023/05/19","PMC10187309","","10.1101/2023.05.05.539593"
"37141936","Towards optimizing single pulse electrical stimulation: High current intensity, short pulse width stimulation most effectively elicits evoked potentials","Hays MA, Kamali G, Koubeissi MZ, Sarma SV, Crone NE, Smith RJ, Kang JY.","Brain Stimul. 2023 May-Jun;16(3):772-782. doi: 10.1016/j.brs.2023.04.023. Epub 2023 May 2.","Hays MA","Brain Stimul","2023","2023/05/04","PMC10330807","NIHMS1910690","10.1016/j.brs.2023.04.023"
"37078023","Enhanced external counterpulsation modulates the heartbeat evoked potential","Liu H, Liang H, Yu X, Wang G, Han Y, Yan M, Li S, Wang W.","Front Physiol. 2023 Apr 3;14:1144073. doi: 10.3389/fphys.2023.1144073. eCollection 2023.","Liu H","Front Physiol","2023","2023/04/20","PMC10106756","","10.3389/fphys.2023.1144073"
"37070749","Modulation of the heartbeat evoked cortical potential by hypnotizability and hypnosis","Callara AL, Fontanelli L, Belcari I, Rho G, Greco A, Zelič Ž, Sebastiani L, Santarcangelo EL.","Psychophysiology. 2023 Sep;60(9):e14309. doi: 10.1111/psyp.14309. Epub 2023 Apr 18.","Callara AL","Psychophysiology","2023","2023/04/18","","","10.1111/psyp.14309"
"36927872","Heartbeat-Evoked Potential in Major Depressive Disorder: A Biomarker for Differential Treatment Prediction between Venlafaxine and rTMS?","Zwienenberg L, van Dijk H, Enriquez-Geppert S, van der Vinne N, Gevirtz R, Gordon E, Sack AT, Arns M.","Neuropsychobiology. 2023;82(3):158-167. doi: 10.1159/000529308. Epub 2023 Mar 16.","Zwienenberg L","Neuropsychobiology","2023","2023/03/17","","","10.1159/000529308"
"36841904","Autonomous sensory meridian response is associated with a larger heartbeat-evoked potential amplitude without differences in interoceptive awareness","Villena-Gonzalez M, Rojas-Thomas F, Morales-Torres R, López V.","Psychophysiology. 2023 Jun;60(6):e14277. doi: 10.1111/psyp.14277. Epub 2023 Feb 25.","Villena-Gonzalez M","Psychophysiology","2023","2023/02/25","","","10.1111/psyp.14277"
"36610678","Whose emotion is it? Perspective matters to understand brain-body interactions in emotions","Engelen T, Buot A, Grèzes J, Tallon-Baudry C.","Neuroimage. 2023 Mar;268:119867. doi: 10.1016/j.neuroimage.2023.119867. Epub 2023 Jan 5.","Engelen T","Neuroimage","2023","2023/01/07","PMC9926012","","10.1016/j.neuroimage.2023.119867"
"36572348","Psychophysiological mechanisms underlying the effects of outdoor green and virtual green exercise during self-paced walking","Mavrantza AM, Bigliassi M, Calogiuri G.","Int J Psychophysiol. 2023 Feb;184:39-50. doi: 10.1016/j.ijpsycho.2022.12.006. Epub 2022 Dec 23.","Mavrantza AM","Int J Psychophysiol","2023","2022/12/26","","","10.1016/j.ijpsycho.2022.12.006"
"36535320","Dual interaction between heartbeat-evoked responses and stimuli","Zhang Y, Zhang J, Xie M, Ding N, Zhang Y, Qin P.","Neuroimage. 2023 Feb 1;266:119817. doi: 10.1016/j.neuroimage.2022.119817. Epub 2022 Dec 16.","Zhang Y","Neuroimage","2023","2022/12/19","","","10.1016/j.neuroimage.2022.119817"
"36325884","The effect of inherently threatening contexts on visuocortical engagement to conditioned threat","Stegmann Y, Andreatta M, Wieser MJ.","Psychophysiology. 2023 Apr;60(4):e14208. doi: 10.1111/psyp.14208. Epub 2022 Nov 3.","Stegmann Y","Psychophysiology","2023","2022/11/03","","","10.1111/psyp.14208"
"36265997","Attenuation of the Heartbeat-Evoked Potential in Patients With Atrial Fibrillation","Kumral D, Al E, Cesnaite E, Kornej J, Sander C, Hensch T, Zeynalova S, Tautenhahn S, Hagendorf A, Laufs U, Wachter R, Nikulin V, Villringer A.","JACC Clin Electrophysiol. 2022 Oct;8(10):1219-1230. doi: 10.1016/j.jacep.2022.06.019. Epub 2022 Aug 31.","Kumral D","JACC Clin Electrophysiol","2022","2022/10/20","","","10.1016/j.jacep.2022.06.019"
"36161147","Effects of 24-h acute total sleep deprivation on physiological coupling in healthy young adults","Liu H, Yu X, Wang G, Han Y, Wang W.","Front Neurosci. 2022 Sep 8;16:952329. doi: 10.3389/fnins.2022.952329. eCollection 2022.","Liu H","Front Neurosci","2022","2022/09/26","PMC9493191","","10.3389/fnins.2022.952329"
"36087362","Exploring the interplay between mechanisms of neuroplasticity and cardiovascular health in aging adults: A multiple linear regression analysis study","Cabral DF, Bigliassi M, Cattaneo G, Rundek T, Pascual-Leone A, Cahalin LP, Gomes-Osman J.","Auton Neurosci. 2022 Nov;242:103023. doi: 10.1016/j.autneu.2022.103023. Epub 2022 Sep 7.","Cabral DF","Auton Neurosci","2022","2022/09/10","PMC11012134","NIHMS1979150","10.1016/j.autneu.2022.103023"
"36034270","Dynamic coupling between the central and autonomic cardiac nervous systems in patients with refractory epilepsy: A pilot study","Melo E, Fiel J, Milhomens R, Ribeiro T, Navegantes R, Gomes F, Duarte Gomes B, Pereira A.","Front Neurol. 2022 Aug 10;13:904052. doi: 10.3389/fneur.2022.904052. eCollection 2022.","Melo E","Front Neurol","2022","2022/08/29","PMC9400810","","10.3389/fneur.2022.904052"
"35964864","Brain-heart interactions are modulated across the respiratory cycle via interoceptive attention","Zaccaro A, Perrucci MG, Parrotta E, Costantini M, Ferri F.","Neuroimage. 2022 Nov 15;262:119548. doi: 10.1016/j.neuroimage.2022.119548. Epub 2022 Aug 11.","Zaccaro A","Neuroimage","2022","2022/08/14","","","10.1016/j.neuroimage.2022.119548"
"35695703","Ballistocardiogram suppression in concurrent EEG-MRI by dynamic modeling of heartbeats","Lee HJ, Graham SJ, Kuo WJ, Lin FH.","Hum Brain Mapp. 2022 Oct 1;43(14):4444-4457. doi: 10.1002/hbm.25965. Epub 2022 Jun 13.","Lee HJ","Hum Brain Mapp","2022","2022/06/13","PMC9435020","","10.1002/hbm.25965"
"35491275","Allostatic-Interoceptive Overload in Frontotemporal Dementia","Birba A, Santamaría-García H, Prado P, Cruzat J, Ballesteros AS, Legaz A, Fittipaldi S, Duran-Aniotz C, Slachevsky A, Santibañez R, Sigman M, García AM, Whelan R, Moguilner S, Ibáñez A.","Biol Psychiatry. 2022 Jul 1;92(1):54-67. doi: 10.1016/j.biopsych.2022.02.955. Epub 2022 Feb 24.","Birba A","Biol Psychiatry","2022","2022/05/01","PMC11184918","NIHMS1998262","10.1016/j.biopsych.2022.02.955"
"35479498","Interoception Dysfunction Contributes to the Negative Emotional Bias in Major Depressive Disorder","Zhou H, Zou H, Dai Z, Zhao S, Hua L, Xia Y, Han Y, Yan R, Tang H, Huang Y, Du Y, Wang X, Yao Z, Lu Q.","Front Psychiatry. 2022 Apr 11;13:874859. doi: 10.3389/fpsyt.2022.874859. eCollection 2022.","Zhou H","Front Psychiatry","2022","2022/04/28","PMC9035634","","10.3389/fpsyt.2022.874859"
"35346793","Response inhibition is disrupted by interoceptive processing at cardiac systole","Ren Q, Marshall AC, Kaiser J, Schütz-Bosbach S.","Biol Psychol. 2022 Apr;170:108323. doi: 10.1016/j.biopsycho.2022.108323. Epub 2022 Mar 25.","Ren Q","Biol Psychol","2022","2022/03/29","","","10.1016/j.biopsycho.2022.108323"
"35339684","Steady-state visual evoked potentials differentiate between internally and externally directed attention","Kritzman L, Eidelman-Rothman M, Keil A, Freche D, Sheppes G, Levit-Binnun N.","Neuroimage. 2022 Jul 1;254:119133. doi: 10.1016/j.neuroimage.2022.119133. Epub 2022 Mar 23.","Kritzman L","Neuroimage","2022","2022/03/27","","","10.1016/j.neuroimage.2022.119133"
"35331342","Feasibility of non-invasive recording of somatosensory evoked potential in pigs","Hoareau GL, Peters A, Hilgart D, Iversen M, Clark G, Zabriskie M, Rieke V, Floyd C, Shah L.","Lab Anim Res. 2022 Mar 24;38(1):9. doi: 10.1186/s42826-022-00118-3.","Hoareau GL","Lab Anim Res","2022","2022/03/25","PMC8943992","","10.1186/s42826-022-00118-3"
"35182753","From the inside out: Interoceptive feedback facilitates the integration of visceral signals for efficient sensory processing","Marshall AC, Gentsch-Ebrahimzadeh A, Schütz-Bosbach S.","Neuroimage. 2022 May 1;251:119011. doi: 10.1016/j.neuroimage.2022.119011. Epub 2022 Feb 16.","Marshall AC","Neuroimage","2022","2022/02/19","","","10.1016/j.neuroimage.2022.119011"
"35138956","Cardiac cycle and respiration phase affect responses to the conditioned stimulus in young adults trained in trace eyeblink conditioning","Waselius T, Xu W, Sparre JI, Penttonen M, Nokia MS.","J Neurophysiol. 2022 Mar 1;127(3):767-775. doi: 10.1152/jn.00298.2021. Epub 2022 Feb 9.","Waselius T","J Neurophysiol","2022","2022/02/09","","","10.1152/jn.00298.2021"
"35134408","Motor cortex oscillates at its intrinsic post-movement beta rhythm following real (but not sham) single pulse, rhythmic and arrhythmic transcranial magnetic stimulation","Hannah R, Muralidharan V, Aron AR.","Neuroimage. 2022 May 1;251:118975. doi: 10.1016/j.neuroimage.2022.118975. Epub 2022 Feb 5.","Hannah R","Neuroimage","2022","2022/02/08","","","10.1016/j.neuroimage.2022.118975"
"34990964","The heartbeat evoked potential is a questionable biomarker in nightmare disorder: A replication study","Bogdány T, Perakakis P, Bódizs R, Simor P.","Neuroimage Clin. 2022;33:102933. doi: 10.1016/j.nicl.2021.102933. Epub 2021 Dec 31.","Bogdány T","Neuroimage Clin","2022","2022/01/06","PMC8743245","","10.1016/j.nicl.2021.102933"
"34958675","Premature infants display discriminable behavioral, physiological, and brain responses to noxious and nonnoxious stimuli","van der Vaart M, Hartley C, Baxter L, Mellado GS, Andritsou F, Cobo MM, Fry RE, Adams E, Fitzgibbon S, Slater R.","Cereb Cortex. 2022 Aug 22;32(17):3799-3815. doi: 10.1093/cercor/bhab449.","van der Vaart M","Cereb Cortex","2022","2021/12/27","PMC9433423","","10.1093/cercor/bhab449"
"34933143","Auricular transcutaneous vagus nerve stimulation modulates the heart-evoked potential","Poppa T, Benschop L, Horczak P, Vanderhasselt MA, Carrette E, Bechara A, Baeken C, Vonck K.","Brain Stimul. 2022 Jan-Feb;15(1):260-269. doi: 10.1016/j.brs.2021.12.004. Epub 2021 Dec 18.","Poppa T","Brain Stimul","2022","2021/12/21","","","10.1016/j.brs.2021.12.004"
"34906572","The relationship between acute stress and neurophysiological and behavioral measures of food-related inhibitory control: An event-related potential (ERP) study","Allen WD, Rodeback RE, Carbine KA, Hedges-Muncy AM, LeCheminant JD, Steffen PR, Larson MJ.","Appetite. 2022 Mar 1;170:105862. doi: 10.1016/j.appet.2021.105862. Epub 2021 Dec 11.","Allen WD","Appetite","2022","2021/12/15","","","10.1016/j.appet.2021.105862"
"34827462","The Paradox of Fiction Revisited-Improvised Fictional and Real-Life Social Rejections Evoke Associated and Relatively Similar Psychophysiological Responses","Seppänen S, Toivanen T, Makkonen T, Jääskeläinen IP, Tiippana K.","Brain Sci. 2021 Nov 5;11(11):1463. doi: 10.3390/brainsci11111463.","Seppänen S","Brain Sci","2021","2021/11/27","PMC8615758","","10.3390/brainsci11111463"
"34820298","Electroencephalographic Activity in Patients with Claustrophobia: A Pilot Study","Moradi D, Eyvazpour R, Rahimi F, Jahan A, Rasta SH, Esmaeili M.","J Med Signals Sens. 2021 Oct 20;11(4):262-268. doi: 10.4103/jmss.JMSS_62_20. eCollection 2021 Oct-Dec.","Moradi D","J Med Signals Sens","2021","2021/11/25","PMC8588885","","10.4103/jmss.JMSS_62_20"
"34804381","Heartbeat evoked potentials in patients with post-traumatic stress disorder: an unaltered neurobiological regulation system?","Schmitz M, Müller LE, Seitz KI, Schulz A, Steinmann S, Herpertz SC, Bertsch K.","Eur J Psychotraumatol. 2021 Nov 17;12(1):1987686. doi: 10.1080/20008198.2021.1987686. eCollection 2021.","Schmitz M","Eur J Psychotraumatol","2021","2021/11/22","PMC8604531","","10.1080/20008198.2021.1987686"
"34795160","Electrophysiological correlates of suicidality","Rakús T, Hubčíková K, Bruncvik L, Pechanová Z, Brunovský M.","Psychiatr Danub. 2021 Fall;33(3):266-279. doi: 10.24869/psyd.2021.266.","Rakús T","Psychiatr Danub","2021","2021/11/19","","","10.24869/psyd.2021.266"
"34733176","Anti-Heartbeat-Evoked Potentials Performance in Event-Related Potentials-Based Mental Workload Assessment","Park S, Ha J, Kim L.","Front Physiol. 2021 Oct 18;12:744071. doi: 10.3389/fphys.2021.744071. eCollection 2021.","Park S","Front Physiol","2021","2021/11/04","PMC8558224","","10.3389/fphys.2021.744071"
"34688923","Interoception Underlies Therapeutic Effects of Mindfulness Meditation for Posttraumatic Stress Disorder: A Randomized Clinical Trial","Kang SS, Sponheim SR, Lim KO.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2022 Aug;7(8):793-804. doi: 10.1016/j.bpsc.2021.10.005. Epub 2021 Oct 21.","Kang SS","Biol Psychiatry Cogn Neurosci Neuroimaging","2022","2021/10/24","","","10.1016/j.bpsc.2021.10.005"
